127.0.0.1 - - [11/Mar/2023:08:56:46 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [11/Mar/2023:08:56:46 +0530] "GET /learner_Acad/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2023:08:56:46 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [11/Mar/2023:08:56:58 +0530] "POST /learner_Acad/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Mar/2023:08:56:58 +0530] "GET /learner_Acad/home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2023:08:57:00 +0530] "GET /learner_Acad/student.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2023:08:57:02 +0530] "GET /learner_Acad/addstudent.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2023:08:57:13 +0530] "GET /learner_Acad/liststudent HTTP/1.1" 200 531
0:0:0:0:0:0:0:1 - - [11/Mar/2023:08:57:19 +0530] "GET /learner_Acad/teacher.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2023:08:57:21 +0530] "GET /learner_Acad/listteacher HTTP/1.1" 200 282
0:0:0:0:0:0:0:1 - - [11/Mar/2023:08:57:26 +0530] "GET /learner_Acad/subject.html HTTP/1.1" 200 259
0:0:0:0:0:0:0:1 - - [11/Mar/2023:08:57:59 +0530] "GET /learner_Acad/subject.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2023:08:58:00 +0530] "GET /learner_Acad/subject.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2023:08:58:12 +0530] "GET /learner_Acad/subject.html HTTP/1.1" 200 260
0:0:0:0:0:0:0:1 - - [11/Mar/2023:08:58:14 +0530] "GET /learner_Acad/listsubject HTTP/1.1" 404 779
0:0:0:0:0:0:0:1 - - [11/Mar/2023:08:58:42 +0530] "GET /learner_Acad/listsubject HTTP/1.1" 200 309
0:0:0:0:0:0:0:1 - - [11/Mar/2023:08:59:26 +0530] "GET /learner_Acad/listsubject HTTP/1.1" 200 309
0:0:0:0:0:0:0:1 - - [11/Mar/2023:08:59:30 +0530] "GET /learner_Acad/listsubject HTTP/1.1" 200 309
0:0:0:0:0:0:0:1 - - [11/Mar/2023:08:59:32 +0530] "GET /learner_Acad/listsubject HTTP/1.1" 200 309
0:0:0:0:0:0:0:1 - - [11/Mar/2023:08:59:53 +0530] "GET /learner_Acad/listsubject HTTP/1.1" 200 239
0:0:0:0:0:0:0:1 - - [11/Mar/2023:09:01:00 +0530] "GET /learner_Acad/listsubject HTTP/1.1" 200 443
0:0:0:0:0:0:0:1 - - [11/Mar/2023:09:16:48 +0530] "GET /learner_Acad/listteacher HTTP/1.1" 200 282
0:0:0:0:0:0:0:1 - - [11/Mar/2023:09:18:00 +0530] "GET /learner_Acad/listteacher HTTP/1.1" 200 282
0:0:0:0:0:0:0:1 - - [11/Mar/2023:09:18:56 +0530] "GET /learner_Acad/listteacher HTTP/1.1" 200 300
0:0:0:0:0:0:0:1 - - [11/Mar/2023:09:39:20 +0530] "GET /learner_Acad/listteacher HTTP/1.1" 200 300
